證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8129000","933888500","114.50","115.85","114.20","114.60","-0.7000","3344"
"0051","元大中型100","20000","1052600","53.15","53.15","52.15","52.70","-0.3000","17"
"0052","富邦科技","245000","23990700","98.00","98.95","97.45","97.45","-1.1000","166"
"0053","元大電子","4000","220000","54.70","55.30","54.70","54.95","-0.3500","4"
"0055","元大MSCI金融","203000","4440320","21.74","22.00","21.74","21.91","0.1000","98"
"0056","元大高股息","26539000","675535890","25.52","25.58","25.33","25.44","-0.1700","12008"
"0057","富邦摩台","3000","245350","81.75","81.85","81.75","81.85","-0.7000","3"
"0061","元大寶滬深","205000","3843700","18.65","18.81","18.65","18.81","0.1600","75"
"006203","元大MSCI台灣","5000","278550","55.75","55.80","55.50","55.50","-0.7500","4"
"006204","永豐臺灣加權","21000","1543500","73.50","73.50","73.50","73.50","-0.3500","3"
"006205","富邦上証","805000","25475560","31.65","31.82","31.52","31.81","0.2600","96"
"006206","元大上證50","89000","2697060","30.36","30.44","30.10","30.44","0.2600","34"
"006207","FH滬深","107000","2624100","24.62","24.83","24.48","24.83","0.2100","13"
"006208","富邦台50","2192000","142360750","64.95","65.55","64.60","64.75","-0.4500","1135"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","6904000","689833200","99.40","101.30","98.85","99.10","-1.0000","2047"
"00632R","元大台灣50反1","310757000","1782029120","5.75","5.77","5.69","5.76","0.0300","12190"
"00633L","富邦上証正2","10626000","423506710","39.53","40.38","39.35","40.33","0.8900","1690"
"00634R","富邦上証反1","323000","1444770","4.51","4.51","4.44","4.44","-0.0700","77"
"00635U","期元大S&P黃金","133000","3051290","22.93","22.98","22.89","22.94","0.0100","54"
"00636","國泰中國A50","836000","17835940","21.22","21.50","21.20","21.49","0.2700","195"
"00636K","國泰中國A50+U","200","1392","6.96","6.96","6.96","6.96","0.0100","2"
"00637L","元大滬深300正2","93600000","1466274820","15.54","15.91","15.49","15.91","0.4200","9751"
"00638R","元大滬深300反1","358000","3382540","9.51","9.51","9.39","9.39","-0.0800","125"
"00639","富邦深100","199000","2532590","12.64","12.80","12.64","12.80","0.1500","69"
"00640L","富邦日本正2","117000","3338240","28.45","28.59","28.45","28.50","-0.0200","38"
"00641R","富邦日本反1","276000","2666880","9.68","9.68","9.64","9.65","-0.0200","51"
"00642U","期元大S&P石油","13416000","214093360","16.03","16.04","15.90","15.98","-0.6200","3256"
"00643","群益深証中小","493000","7445840","15.10","15.21","15.04","15.20","0.1700","126"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","112000","2922450","26.08","26.14","26.08","26.14","0.1400","65"
"00646","元大S&P500","324000","12142190","37.46","37.51","37.42","37.50","-0.3100","153"
"00647L","元大S&P500正2","147000","7763150","52.80","52.95","52.65","52.90","-1.3000","84"
"00648R","元大S&P500反1","4679000","34509690","7.38","7.40","7.36","7.38","0.1000","299"
"00650L","FH香港正2","14285000","193570140","13.35","13.83","13.28","13.74","0.5100","1487"
"00651R","FH香港反1","1734000","14995900","8.73","8.80","8.56","8.58","-0.1500","296"
"00652","富邦印度","77000","2392510","31.15","31.15","31.03","31.03","-0.1600","52"
"00653L","富邦印度正2","83000","4041190","48.60","48.85","48.37","48.37","-0.3800","49"
"00654R","富邦印度反1","331000","2531380","7.65","7.66","7.61","7.65","0.0200","63"
"00655L","國泰中國A50正2","2981000","84230670","28.06","28.70","27.95","28.69","0.7300","624"
"00656R","國泰中國A50反1","315000","2656130","8.47","8.49","8.37","8.37","-0.0900","48"
"00657","國泰日經225","1000","32570","32.57","32.57","32.57","32.57","-0.4300","1"
"00657K","國泰日經225+U","200","2126","10.63","10.63","10.63","10.63","-0.1500","2"
"00660","元大歐洲50","7000","201440","28.82","28.82","28.76","28.82","-0.1000","4"
"00661","元大日經225","1000","35220","35.22","35.22","35.22","35.22","-0.3300","1"
"00662","富邦NASDAQ","430000","19679890","45.90","45.90","45.73","45.77","-0.6800","286"
"00663L","國泰臺灣加權正2","237000","21631000","91.40","93.00","90.90","91.15","-0.9000","23"
"00664R","國泰臺灣加權反1","10927000","70936280","6.51","6.52","6.44","6.51","0.0300","723"
"00665L","富邦恒生國企正2","27394000","238251740","8.52","8.92","8.49","8.89","0.4000","2298"
"00666R","富邦恒生國企反1","281000","4187690","15.01","15.01","14.76","14.80","-0.2900","72"
"00668","國泰美國道瓊","6000","224870","37.41","37.53","37.41","37.51","-0.2400","5"
"00668K","國泰美國道瓊+U","300","3668","12.23","12.23","12.22","12.22","-0.1300","3"
"00669R","國泰美國道瓊反1","20639000","163327620","7.92","7.92","7.90","7.92","0.0800","1291"
"00670L","富邦NASDAQ正2","4860000","267199050","54.95","55.15","54.80","55.10","-2.0000","1613"
"00671R","富邦NASDAQ反1","13372000","84234290","6.30","6.31","6.28","6.30","0.1100","694"
"00673R","期元大S&P原油反1","58369000","543024930","9.26","9.34","9.26","9.28","0.3400","3908"
"00674R","期元大S&P黃金反1","755000","10019040","13.28","13.29","13.24","13.27","0.0000","140"
"00675L","富邦臺灣加權正2","1370000","54737870","39.87","40.57","39.62","39.70","-0.4600","379"
"00676R","富邦臺灣加權反1","11767000","41949680","3.58","3.58","3.54","3.57","0.0100","674"
"00678","群益NBI生技","314000","8296040","26.41","26.45","26.41","26.43","-0.3300","12"
"00680L","元大美債20正2","5924000","74268090","12.53","12.58","12.50","12.53","0.1500","745"
"00681R","元大美債20反1","479000","8531120","17.76","17.83","17.75","17.83","-0.0600","46"
"00682U","期元大美元指數","150000","3151190","21.02","21.03","20.98","21.02","0.0600","79"
"00683L","期元大美元指正2","1682000","37736930","22.42","22.48","22.36","22.46","0.1200","327"
"00684R","期元大美元指反1","60000","948380","15.82","15.82","15.78","15.79","-0.0500","16"
"00685L","群益臺灣加權正2","189000","6717280","35.41","36.03","35.20","35.32","-0.3300","71"
"00686R","群益臺灣加權反1","1333000","5158680","3.86","3.88","3.85","3.88","0.0300","57"
"00688L","國泰20年美債正2","2773000","34394440","12.42","12.45","12.37","12.40","0.1300","207"
"00689R","國泰20年美債反1","115000","2127100","18.48","18.50","18.48","18.50","-0.0700","6"
"00690","兆豐藍籌30","451000","11737090","26.13","26.20","25.93","25.98","-0.1500","186"
"00692","富邦公司治理","1456000","40637070","27.89","28.10","27.73","27.82","-0.1700","512"
"00693U","期街口S&P黃豆","344000","8982000","26.06","26.14","26.02","26.12","0.3300","47"
"00700","富邦恒生國企","248000","3221980","12.89","13.18","12.89","13.15","0.2600","67"
"00701","國泰股利精選30","751000","16817490","22.30","22.48","22.25","22.40","0.1000","235"
"00702","國泰標普低波高息","111000","2423140","21.84","21.84","21.82","21.84","-0.1400","12"
"00703","台新MSCI中國","157000","2498870","15.86","16.09","15.80","16.06","0.2900","48"
"00706L","期元大S&P日圓正2","1639000","15848270","9.67","9.72","9.63","9.65","-0.0600","306"
"00707R","期元大S&P日圓反1","29000","708370","24.45","24.47","24.41","24.47","0.1000","11"
"00708L","期元大S&P黃金正2","648000","15326760","23.62","23.73","23.58","23.70","0.0300","127"
"00709","富邦歐洲","85000","1933070","22.72","22.76","22.72","22.73","-0.1600","13"
"00710B","FH彭博非投等債","205000","3717800","18.11","18.17","18.10","18.16","0.0700","46"
"00711B","FH彭博新興債","86000","1411260","16.41","16.41","16.41","16.41","0.0100","11"
"00712","FH富時不動產","7679000","79188760","10.38","10.38","10.30","10.32","-0.1500","2625"
"00713","元大台灣高息低波","6013000","234088700","39.03","39.13","38.76","38.88","-0.1400","2750"
"00714","群益道瓊美國地產","154000","2902920","18.84","18.86","18.84","18.85","-0.1100","89"
"00715L","期街口布蘭特正2","78583000","1091424630","14.08","14.11","13.77","13.88","-1.2500","12967"
"00717","富邦美國特別股","214000","3163070","14.80","14.82","14.76","14.77","-0.0500","51"
"00728","第一金工業30","405000","9318770","23.10","23.18","22.95","22.96","-0.1900","235"
"00730","富邦臺灣優質高息","129000","2156950","16.84","16.84","16.64","16.65","-0.1900","87"
"00731","FH富時高息低波","1066000","57485150","53.85","54.05","53.85","53.95","0.1000","55"
"00732","國泰RMB短期報酬","100000","4047000","40.47","40.47","40.47","40.47","0.0900","4"
"00733","富邦臺灣中小","510000","18131660","35.88","35.93","35.15","35.29","-0.6200","188"
"00735","國泰臺韓科技","106000","2647210","24.88","25.03","24.88","24.94","-0.2500","9"
"00736","國泰新興市場","101000","1977110","19.53","19.61","19.53","19.61","-0.0100","4"
"00737","國泰AI+Robo","119000","2964730","24.91","24.96","24.86","24.94","-0.4200","43"
"00738U","期元大道瓊白銀","188000","4189660","22.22","22.40","22.18","22.39","-0.0600","92"
"00739","元大MSCI A股","172000","3999150","23.23","23.42","23.19","23.42","0.2700","20"
"00752","中信中國50","2753000","50064920","18.02","18.39","17.98","18.37","0.4200","661"
"00753L","中信中國50正2","18013000","204170570","11.18","11.60","11.14","11.55","0.3700","2618"
"00757","統一FANG+","313000","11202590","35.79","35.82","35.74","35.82","-0.4100","135"
"00762","元大全球AI","162000","4975950","30.67","30.77","30.67","30.75","-0.5500","101"
"00763U","期街口道瓊銅","24000","585520","24.43","24.54","24.32","24.54","0.1100","10"
"00770","國泰北美科技","101000","2839400","28.07","28.15","28.07","28.13","-0.5700","16"
"00771","元大US高息特別股","22000","364410","16.55","16.58","16.55","16.57","-0.0600","22"
"00774B","新光中國政金綠債","3000","121090","40.39","40.39","40.35","40.35","0.0500","3"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","58000","1999340","34.50","34.50","34.37","34.47","0.0200","6"
"00783","富邦中証500","66000","1383210","20.91","21.00","20.91","21.00","0.0500","7"
"00830","國泰費城半導體","4401000","105681990","24.01","24.04","23.95","24.03","-0.3800","1893"
"00850","元大臺灣ESG永續","713000","20838880","29.17","29.42","29.04","29.15","-0.1100","176"
"00851","台新全球AI","25000","575490","23.01","23.03","23.01","23.02","-0.3900","6"
"00852L","國泰美國道瓊正2","873000","17350210","19.87","19.91","19.83","19.86","-0.3800","147"
"00861","元大全球未來通訊","89000","2372700","26.65","26.67","26.63","26.65","-0.3100","33"
"00865B","國泰US短期公債","101000","4040020","40.00","40.02","40.00","40.02","0.1200","5"
"00875","國泰網路資安","91000","2303680","25.29","25.35","25.26","25.32","-0.2900","53"
"00876","元大全球5G","218000","5557900","25.56","25.56","25.45","25.46","-0.3800","108"
"00878","國泰永續高股息","37724000","619603930","16.41","16.51","16.37","16.40","-0.0500","13238"
"00881","國泰台灣5G+","7163000","102496390","14.33","14.44","14.25","14.25","-0.1700","2176"
"00882","中信中國高股息","6269000","74161560","11.77","11.88","11.76","11.86","0.1100","1474"
"00885","富邦越南","38075000","444376140","11.61","11.78","11.55","11.76","-0.1500","7163"
"00891","中信關鍵半導體","10480000","122546300","11.72","11.83","11.63","11.63","-0.1600","3196"
"00892","富邦台灣半導體","4183000","43884640","10.51","10.60","10.42","10.42","-0.1500","1066"
"00893","國泰智能電動車","10364000","124157570","11.98","12.02","11.92","12.01","-0.1200","2351"
"00894","中信小資高價30","1550000","18743400","12.17","12.20","12.02","12.03","-0.1400","204"
"00895","富邦未來車","2541000","32977200","12.97","13.01","12.95","12.98","-0.1700","597"
"00896","中信綠能及電動車","1904000","25493410","13.42","13.48","13.30","13.30","-0.1200","362"
"00897","富邦基因免疫生技","1480000","13031040","8.82","8.82","8.79","8.82","-0.2400","336"
"00898","國泰基因免疫革命","862000","6508120","7.55","7.57","7.54","7.56","-0.1100","249"
"00899","FT潔淨能源","203000","4685670","23.21","23.21","23.03","23.03","-0.4700","93"
"00900","富邦特選高股息30","8727000","93616290","10.80","10.81","10.66","10.68","-0.1200","2317"
"00901","永豐智能車供應鏈","604000","7300690","12.11","12.18","12.02","12.02","-0.1600","162"
"00902","中信電池及儲能","8441000","113175580","13.21","13.52","13.21","13.45","0.1300","981"
"00903","富邦元宇宙","8362000","70667590","8.48","8.48","8.41","8.46","-0.2500","1245"
"00904","新光臺灣半導體30","897000","9924480","11.09","11.19","11.01","11.02","-0.1500","260"
"00905","FT臺灣Smart","352000","3064770","8.70","8.78","8.68","8.68","-0.0500","108"
"00906","大華元宇宙科技50","6000","54060","9.02","9.02","9.00","9.00","-0.1000","5"
"00907","永豐優息存股","702000","10242380","14.48","14.65","14.46","14.58","0.0700","234"
"00908","富邦入息REITs+","654000","8838670","13.50","13.52","13.49","13.49","-0.0100","52"
"00909","國泰數位支付服務","1281000","19209960","15.00","15.02","14.92","15.01","-0.3400","324"
"00910","第一金太空衛星","149000","2226080","14.95","14.95","14.91","14.91","-0.1700","16"
"00911","兆豐洲際半導體","151000","2295080","15.18","15.21","15.18","15.20","-0.2900","14"
"00912","中信臺灣智慧50","962000","13480690","14.00","14.08","13.92","13.92","-0.1200","153"
"00913","兆豐台灣晶圓製造","468000","7043540","14.98","15.10","14.91","14.91","-0.2700","30"
"00915","凱基優選高股息30","572000","8757900","15.20","15.38","15.20","15.28","-0.0700","207"
"00916","國泰全球品牌50","848000","12399340","14.62","14.64","14.60","14.63","-0.1900","345"
"00917","中信特選金融","544000","8159750","15.00","15.01","14.99","15.01","-0.1000","115"
"00918","大華優利高填息30","705000","10590280","15.05","15.12","14.97","15.05","-0.0900","215"
"00919","群益台灣精選高息","3520000","58358090","16.61","16.70","16.47","16.51","-0.1600","1227"
"00920","富邦ESG綠色電力","648000","11029810","17.05","17.05","17.01","17.03","-0.3100","61"
"01001T","土銀富邦R1","17000","279940","16.35","18.00","16.35","18.00","1.6000","5"
"01002T","土銀國泰R1","60000","1078820","18.00","18.00","17.97","17.98","-0.0200","26"
"01003T","兆豐新光R1","","","","","","","0.0000",""
"01004T","土銀富邦R2","13000","201330","15.38","15.80","15.38","15.80","0.0000","10"
"01007T","兆豐國泰R2","153000","2761570","18.03","18.06","18.03","18.05","0.0000","9"
"01009T","王道圓滿R1","","","","","","","0.0000",""
"01010T","京城樂富R1","128000","1275490","9.98","10.00","9.95","10.00","0.0000","12"
"020000","富邦特選蘋果N","","","","","","","0.0000",""
"020002","元富新中國N","1000","12960","12.96","12.96","12.96","12.96","0.1000","1"
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020011","統一微波高息20N","","","","","","","0.0000",""
"020012","富邦行動通訊N","1000","6510","6.51","6.51","6.51","6.51","0.0000","1"
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","1000","16100","16.10","16.10","16.10","16.10","0.0000","1"
"020018","統一價值成長30N","11000","156200","14.22","14.22","14.00","14.00","-0.4200","2"
"020019","統一特選台灣5GN","","","","","","","0.0000",""
"02001L","富邦蘋果正二N","126000","1158850","9.35","9.35","9.07","9.10","-0.5200","7"
"02001R","富邦蘋果反一N","126000","375840","2.95","2.99","2.95","2.99","0.0500","7"
"02001S","策元大加權策略N","214000","1055010","4.99","4.99","4.91","4.92","-0.0200","88"
"020020","元大台股領航N","18000","116820","6.45","6.50","6.45","6.47","-0.0300","7"
"020022","元大電動車N","150000","775750","5.22","5.22","5.14","5.15","-0.0700","42"
"020028","元大特選電動車N","49000","245110","5.04","5.04","4.96","4.98","-0.0600","27"
"020029","元大ESG高股息N","27000","120660","4.47","4.49","4.46","4.49","0.0200","8"
"020030","統一智慧電動車N","198000","790900","4.03","4.03","3.97","3.98","-0.0800","32"
"020031","統一IC設計臺灣N","330000","1134270","3.48","3.48","3.43","3.43","-0.0700","47"
"020032","元大綠能N","89000","434070","4.88","4.90","4.82","4.82","-0.0600","18"
"020034","元大IC設計N","266000","1108620","4.17","4.20","4.12","4.12","-0.0800","33"
"1101","台泥","21867000","728071950","33.20","33.50","33.05","33.35","0.0500","7084"
"1101B","台泥乙特","65000","3121850","48.30","48.30","47.90","48.25","-0.0500","19"
"1102","亞泥","5113000","210195850","41.15","41.30","40.90","40.90","-0.3500","2509"
"1103","嘉泥","179000","3199550","18.05","18.10","17.70","17.95","-0.1000","116"
"1104","環泥","564000","12621200","22.35","22.50","22.30","22.45","0.1000","230"
"1108","幸福","151000","1628350","10.80","10.85","10.75","10.75","-0.1000","85"
"1109","信大","95000","1547250","16.35","16.45","16.15","16.15","-0.3000","58"
"1110","東泥","121000","2133900","17.70","17.80","17.55","17.70","-0.1000","77"
"1201","味全","299000","5668700","18.95","19.10","18.85","19.05","0.1000","181"
"1203","味王","24000","825800","34.20","34.60","34.00","34.60","0.6500","23"
"1210","大成","559000","24957900","44.40","44.90","44.35","44.75","0.3500","324"
"1213","大飲","13000","92430","7.09","7.20","6.91","7.05","-0.2900","7"
"1215","卜蜂","292000","22875100","78.10","78.90","78.00","78.90","0.9000","246"
"1216","統一","13649000","889775100","65.00","65.60","64.70","65.20","0.6000","4383"
"1217","愛之味","1132000","11781900","10.35","10.50","10.30","10.40","0.0500","398"
"1218","泰山","6644000","255379150","39.30","39.30","38.05","38.40","-0.7500","3168"
"1219","福壽","394000","7486250","19.10","19.15","18.90","19.05","0.0000","193"
"1220","台榮","97000","1472500","15.15","15.25","15.15","15.15","-0.1000","56"
"1225","福懋油","3000","171700","57.60","57.60","56.80","57.30","0.7000","3"
"1227","佳格","406000","16328550","40.20","40.65","40.10","40.30","-0.1000","235"
"1229","聯華","737000","36727150","49.80","50.20","49.60","49.80","-0.2000","488"
"1231","聯華食","133000","9662500","73.00","73.50","72.10","72.50","-0.5000","108"
"1232","大統益","41000","6012500","146.00","147.00","146.00","146.50","0.5000","36"
"1233","天仁","32000","1037250","32.45","32.55","32.30","32.30","-0.2000","21"
"1234","黑松","194000","6401500","32.95","33.10","32.95","33.10","0.1500","103"
"1235","興泰","9000","617100","68.60","69.00","68.50","68.50","-1.3000","7"
"1236","宏亞","91000","1963500","21.45","21.80","21.25","21.40","-0.0500","54"
"1256","鮮活果汁-KY","109000","30665000","261.00","287.00","261.00","274.50","13.5000","102"
"1301","台塑","7913000","699491900","87.40","89.20","87.30","88.10","0.8000","3332"
"1303","南亞","9509000","718304400","75.60","76.10","75.10","75.20","-0.6000","3491"
"1304","台聚","2079000","43353900","20.95","21.15","20.70","20.75","-0.3000","1120"
"1305","華夏","1114000","23997750","21.60","21.80","21.30","21.50","-0.2000","564"
"1307","三芳","144000","2992650","20.80","21.15","20.65","21.10","0.3500","65"
"1308","亞聚","1001000","27758650","28.05","28.20","27.40","27.65","-0.4000","609"
"1309","台達化","1354000","29001600","21.35","21.75","21.15","21.45","-0.3000","756"
"1310","台苯","438000","6076550","13.85","14.05","13.75","13.80","-0.0500","226"
"1312","國喬","7439000","141287850","19.15","19.35","18.70","18.85","-0.3500","2275"
"1312A","國喬特","2000","55200","27.35","27.85","27.35","27.85","-0.4500","2"
"1313","聯成","1579000","21374000","13.50","13.80","13.40","13.50","-0.1000","554"
"1314","中石化","8569000","86149100","10.10","10.20","10.00","10.05","-0.0500","1819"
"1315","達新","24000","1726600","72.30","72.30","71.20","72.10","-0.2000","22"
"1316","上曜","720000","9358350","13.00","13.20","12.80","13.00","0.0000","298"
"1319","東陽","7789000","368566000","48.35","48.60","46.70","46.80","-1.8500","3839"
"1321","大洋","120000","4057150","33.80","34.10","33.55","34.00","0.2000","75"
"1323","永裕","51000","1679100","33.10","33.10","32.80","32.95","0.0000","28"
"1324","地球","12000","125150","10.45","10.50","10.40","10.45","0.0000","10"
"1325","恆大","231000","5401650","23.45","23.70","23.10","23.20","-0.1500","162"
"1326","台化","3649000","266627900","73.90","73.90","72.70","72.70","-1.2000","1419"
"1337","再生-KY","668000","4653630","7.00","7.06","6.91","7.00","-0.0300","277"
"1338","廣華-KY","124000","5685300","46.65","46.65","45.55","45.70","-0.3000","95"
"1339","昭輝","319000","13639950","42.45","43.20","42.30","42.80","0.6000","208"
"1340","勝悅-KY","81000","812750","10.00","10.10","9.99","10.05","0.0000","43"
"1341","富林-KY","18000","1221200","68.00","68.00","67.50","67.90","-0.3000","11"
"1342","八貫","20993000","2623636500","125.00","131.00","117.50","122.50","-2.5000","13383"
"1402","遠東新","17489000","575662300","32.85","33.10","32.65","32.80","0.0500","5064"
"1409","新纖","1322000","23220100","17.50","17.75","17.40","17.55","0.0500","550"
"1410","南染","709000","30862800","44.25","44.75","42.00","42.95","-1.7000","347"
"1413","宏洲","41000","395090","9.78","9.78","9.60","9.73","-0.0500","29"
"1414","東和","241000","4290050","17.90","17.90","17.65","17.90","0.0000","131"
"1416","廣豐","64000","666350","10.45","10.50","10.35","10.40","-0.0500","38"
"1417","嘉裕","4478000","62974000","14.40","14.50","13.75","13.95","-0.3500","1805"
"1418","東華","9000","124800","14.05","14.05","13.80","13.90","0.1000","7"
"1419","新紡","48000","1878950","39.25","39.30","38.80","39.10","-0.1500","21"
"1423","利華","90000","1797600","20.00","20.05","19.90","20.05","0.0500","43"
"1432","大魯閣","146000","1762900","12.15","12.25","12.00","12.00","-0.1000","99"
"1434","福懋","611000","16165950","26.55","26.55","26.35","26.55","-0.0500","341"
"1436","華友聯","65000","3669800","56.50","56.70","56.00","56.50","0.0000","56"
"1437","勤益控","2927000","77940150","26.70","26.90","25.75","26.00","-0.4500","1401"
"1438","三地開發","74000","2299100","31.90","31.95","30.30","31.00","-0.8000","60"
"1439","雋揚","21000","448900","21.40","21.65","21.15","21.45","-0.1500","18"
"1440","南紡","949000","16334600","17.20","17.40","17.05","17.15","0.0000","383"
"1441","大東","19000","151490","8.01","8.01","7.95","8.00","-0.0100","18"
"1442","名軒","760000","27414050","35.95","36.50","35.65","36.50","0.5500","456"
"1443","立益物流","90000","1895300","21.20","21.45","20.90","21.00","-0.2500","51"
"1444","力麗","2599000","27309750","10.60","10.65","10.40","10.50","-0.0500","626"
"1445","大宇","8000","128550","16.10","16.10","16.05","16.05","-0.1000","4"
"1446","宏和","126000","3807850","30.40","30.55","29.90","29.90","-0.7000","78"
"1447","力鵬","1272000","10058970","7.96","7.98","7.87","7.87","-0.0900","466"
"1451","年興","381000","8113950","21.40","21.60","21.15","21.25","-0.2500","304"
"1452","宏益","162000","2858550","17.80","17.80","17.50","17.55","-0.2500","85"
"1453","大將","763000","12970950","17.30","17.60","16.60","16.75","-0.6000","412"
"1454","台富","296000","3987550","13.30","13.90","13.20","13.25","0.1000","134"
"1455","集盛","841000","8912950","10.70","10.70","10.50","10.50","-0.2000","266"
"1456","怡華","59000","945550","16.20","16.20","15.85","16.15","0.0000","37"
"1457","宜進","825000","15558400","18.70","18.90","18.65","18.90","0.1500","143"
"1459","聯發","77000","659760","8.69","8.76","8.50","8.51","-0.1900","41"
"1460","宏遠","508000","3626850","7.16","7.20","7.10","7.17","0.0200","167"
"1463","強盛","105000","1526200","14.60","14.65","14.45","14.50","-0.1000","65"
"1464","得力","223000","3193350","14.35","14.40","14.25","14.30","-0.1000","99"
"1465","偉全","41000","563100","13.85","13.85","13.65","13.70","-0.2000","24"
"1466","聚隆","80000","944600","11.90","11.90","11.65","11.80","-0.1000","29"
"1467","南緯","7282000","89603150","12.15","12.50","12.15","12.30","0.0500","848"
"1468","昶和","42000","556800","13.30","13.35","13.15","13.30","-0.1500","35"
"1470","大統新創","18000","342900","19.15","19.15","18.85","18.85","-0.0500","10"
"1471","首利","396000","3170840","8.09","8.15","7.92","8.09","0.0000","210"
"1472","三洋實業","2000","42150","20.95","21.20","20.95","21.20","-0.5000","2"
"1473","台南","100000","2047100","20.40","20.65","20.25","20.65","0.1500","58"
"1474","弘裕","555000","6922450","12.45","12.55","12.35","12.35","-0.1500","136"
"1475","業旺","91000","5850400","63.80","66.00","63.40","63.40","-1.2000","82"
"1476","儒鴻","778000","372477000","479.00","483.00","469.50","477.00","3.5000","620"
"1477","聚陽","1322000","310336500","235.00","238.00","230.50","236.50","1.5000","954"
"1503","士電","131000","7946200","60.90","61.40","59.90","60.10","-0.8000","99"
"1504","東元","3250000","90333200","27.90","28.10","27.60","27.70","-0.2000","1618"
"1506","正道","558000","9769200","17.80","17.80","17.30","17.75","-0.1000","285"
"1512","瑞利","137000","466330","3.50","3.50","3.39","3.39","-0.1200","48"
"1513","中興電","32357000","2053958900","64.30","65.20","62.30","62.80","-1.7000","15372"
"1514","亞力","4786000","145530600","30.70","31.30","29.85","30.00","-0.8500","2518"
"1515","力山","1051000","34696000","33.00","33.90","32.30","32.65","0.0000","725"
"1516","川飛","387000","8180800","21.50","21.50","20.90","20.95","-0.6000","255"
"1517","利奇","930000","21131100","23.10","23.15","22.45","22.50","-0.5000","486"
"1519","華城","37601000","1853061700","48.80","50.80","47.90","49.65","0.9500","19734"
"1521","大億","19000","683150","36.15","36.15","35.70","35.80","-0.1500","15"
"1522","堤維西","8497000","244377050","28.35","29.10","28.15","29.10","0.7500","4044"
"1522A","堤維西甲特","","","","","","","0.0000",""
"1524","耿鼎","6645000","166903050","25.30","25.70","24.50","24.90","-0.5500","3187"
"1525","江申","38000","2214800","59.00","59.00","57.40","58.00","-1.5000","36"
"1526","日馳","394000","17774850","45.75","45.75","44.80","45.05","-0.6000","245"
