證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1527","鑽全","192000","7971600","41.40","41.70","41.40","41.50","-0.2000","137"
"1528","恩德","322000","3194450","9.94","9.99","9.86","9.89","-0.0600","133"
"1529","樂事綠能","867000","15354000","17.90","18.05","17.40","17.60","-0.2000","433"
"1530","亞崴","21000","660450","31.55","31.55","31.30","31.40","-0.3000","18"
"1531","高林股","87000","1218050","14.00","14.05","13.90","14.05","-0.0500","52"
"1532","勤美","232000","6887000","29.50","30.10","29.40","29.50","-0.1000","151"
"1533","車王電","293000","14810350","51.80","51.80","49.80","50.30","-1.3000","221"
"1535","中宇","71000","3029050","42.70","42.85","42.50","42.50","-0.3500","57"
"1536","和大","1358000","99314600","73.00","74.20","72.20","72.60","-1.0000","961"
"1537","廣隆","69000","9514500","137.50","138.50","137.50","138.00","0.0000","58"
"1538","正峰","11000","70290","6.18","6.51","6.18","6.51","0.0000","11"
"1539","巨庭","1759000","55272150","32.20","32.30","30.80","31.20","-0.9500","1097"
"1540","喬福","111000","1774250","15.95","16.20","15.90","15.90","-0.1500","82"
"1541","錩泰","24000","831000","34.90","34.90","34.50","34.50","-0.3000","20"
"1558","伸興","76000","8966500","117.50","119.00","117.50","118.00","-0.5000","59"
"1560","中砂","20339000","2571453500","131.00","132.00","121.50","124.50","-5.0000","13033"
"1568","倉佑","761000","18947450","24.85","25.15","24.40","25.05","0.2000","382"
"1582","信錦","105000","6236500","60.00","60.00","59.10","59.30","-0.7000","96"
"1583","程泰","1000","61400","61.40","61.40","61.40","61.40","-0.3000","1"
"1587","吉茂","29000","650300","22.60","22.60","22.25","22.50","-0.2500","22"
"1589","永冠-KY","450000","25971700","57.20","58.10","57.00","57.40","0.4000","344"
"1590","亞德客-KY","798000","750385000","962.00","968.00","916.00","958.00","-6.0000","700"
"1597","直得","67000","4936200","74.50","75.10","73.10","73.60","-0.8000","58"
"1598","岱宇","1752000","77341100","43.00","45.20","43.00","43.20","0.6000","1211"
"1603","華電","1080000","28329050","26.85","26.95","25.65","25.65","-0.9000","423"
"1604","聲寶","848000","21805600","25.05","26.20","25.00","25.80","0.7000","275"
"1605","華新","151859000","7316495850","48.45","49.85","46.65","47.30","-1.0000","57588"
"1608","華榮","778000","11141350","14.45","14.55","14.10","14.25","-0.2000","329"
"1609","大亞","6771000","138007000","20.90","20.90","20.00","20.00","-0.7500","3148"
"1611","中電","756000","10767200","14.50","14.50","14.10","14.10","-0.3500","457"
"1612","宏泰","636000","10261400","16.20","16.50","16.00","16.10","-0.1000","374"
"1614","三洋電","21000","753500","35.95","36.05","35.80","36.05","0.1000","13"
"1615","大山","51000","1460300","28.95","28.95","28.50","28.70","0.0000","28"
"1616","億泰","131000","984660","7.58","7.63","7.43","7.47","-0.1100","68"
"1617","榮星","48000","718100","14.95","15.05","14.90","14.90","-0.0500","15"
"1618","合機","382000","5318550","14.05","14.10","13.85","13.85","-0.1500","148"
"1626","艾美特-KY","99000","1717900","17.45","17.60","17.10","17.45","-0.1000","52"
"1701","中化","1149000","24464100","21.05","21.45","21.00","21.35","0.3000","486"
"1702","南僑","114000","5065900","44.30","44.70","44.15","44.50","0.3000","96"
"1707","葡萄王","2837000","458199000","161.50","164.00","157.00","160.00","-1.0000","2053"
"1708","東鹼","2203000","95429600","43.55","44.10","42.70","43.25","-0.2000","1289"
"1709","和益","687000","15570650","22.85","22.90","22.50","22.55","-0.2500","369"
"1710","東聯","1001000","18253950","18.15","18.50","18.05","18.10","-0.0500","394"
"1711","永光","1104000","20357000","18.40","18.80","18.20","18.30","-0.1000","518"
"1712","興農","1343000","51486650","38.15","38.65","38.00","38.25","0.0500","844"
"1713","國化","9000","221550","24.60","24.65","24.60","24.65","-0.1000","7"
"1714","和桐","1230000","10590510","8.56","8.67","8.53","8.62","0.0600","477"
"1717","長興","1607000","50339700","31.40","31.50","31.15","31.20","-0.2000","1044"
"1718","中纖","2981000","25311770","8.53","8.63","8.39","8.45","-0.0700","988"
"1720","生達","1293000","63573300","48.65","49.85","48.40","48.90","0.5500","771"
"1721","三晃","1981000","31038650","15.75","15.95","15.45","15.50","-0.3000","908"
"1722","台肥","1355000","74286800","55.30","55.30","54.50","54.80","-0.4000","667"
"1723","中碳","257000","27866000","109.00","109.50","107.50","108.00","-1.0000","153"
"1725","元禎","63000","1287750","20.50","20.60","20.30","20.45","-0.2500","43"
"1726","永記","14000","990400","70.60","70.90","70.60","70.90","0.4000","14"
"1727","中華化","714000","19965700","27.70","28.50","27.40","28.00","0.2500","509"
"1730","花仙子","34000","1908800","56.50","56.70","55.70","55.90","-0.1000","32"
"1731","美吾華","305000","5598500","18.05","18.60","18.05","18.40","0.4000","192"
"1732","毛寶","334000","10128850","30.55","30.90","29.80","30.10","-0.4500","204"
"1733","五鼎","599000","15181450","25.50","25.60","25.00","25.30","0.1500","269"
"1734","杏輝","6887000","216556850","30.70","31.80","30.60","31.80","1.2000","3454"
"1735","日勝化","3000","45100","15.05","15.05","15.00","15.00","-0.1000","3"
"1736","喬山","6943000","577377800","85.20","86.20","80.30","83.10","-1.7000","4513"
"1737","臺鹽","259000","8373300","32.00","32.60","32.00","32.25","0.2500","180"
"1752","南光","949000","37179200","39.00","39.75","38.60","39.05","0.2000","591"
"1760","寶齡富錦","23195000","4147446000","181.50","185.00","172.00","175.00","-5.0000","14932"
"1762","中化生","287000","16899000","58.60","59.80","57.90","58.80","-0.1000","209"
"1773","勝一","324000","38220000","116.50","120.00","116.50","117.50","0.0000","259"
"1776","展宇","17000","284650","16.75","16.85","16.70","16.70","-0.2000","10"
"1783","和康生","1078000","50241650","47.00","47.90","45.20","46.60","-0.4500","760"
"1786","科妍","750000","39626500","49.60","54.30","49.60","52.20","2.5000","620"
"1789","神隆","1066000","26171800","24.20","24.75","24.20","24.60","0.4000","511"
"1795","美時","4195000","1020970000","248.00","254.00","236.00","244.00","-5.5000","2773"
"1802","台玻","20457000","503270700","24.00","24.95","23.95","24.70","0.8000","8076"
"1805","寶徠","5000","53450","10.65","10.80","10.65","10.65","0.0500","5"
"1806","冠軍","601000","5664060","9.50","9.55","9.32","9.32","-0.1500","268"
"1808","潤隆","181000","11732400","64.40","65.50","64.00","64.60","0.3000","132"
"1809","中釉","572000","7694050","13.60","13.65","13.25","13.45","-0.0500","296"
"1810","和成","6206000","127679450","20.70","20.95","20.10","20.50","-0.0500","2693"
"1817","凱撒衛","15000","543300","36.30","36.30","36.05","36.10","-0.2000","14"
"1903","士紙","153000","7682850","50.10","51.00","49.50","50.70","0.0000","74"
"1904","正隆","973000","27041300","27.35","27.90","27.35","27.85","0.4000","597"
"1905","華紙","963000","16363850","17.10","17.25","16.80","16.85","-0.2500","514"
"1906","寶隆","236000","3950000","16.75","16.90","16.60","16.70","0.0000","109"
"1907","永豐餘","2821000","71587350","25.50","25.80","25.20","25.25","-0.2000","1270"
"1909","榮成","2206000","34202950","15.65","15.75","15.30","15.45","-0.2000","923"
"2002","中鋼","22742000","661586450","28.80","29.25","28.80","29.00","0.0000","5953"
"2002A","中鋼特","7000","323300","46.30","46.30","45.95","46.30","0.0000","6"
"2006","東和鋼鐵","1265000","66427100","53.20","53.20","52.10","52.20","-0.8000","819"
"2007","燁興","796000","8203900","10.50","10.55","10.15","10.20","-0.2000","353"
"2008","高興昌","18000","304750","16.95","17.05","16.90","17.05","0.0500","9"
"2009","第一銅","2074000","63629450","31.00","31.40","30.20","30.60","-0.4000","1244"
"2010","春源","322000","5034100","15.85","15.90","15.50","15.55","-0.1500","214"
"2012","春雨","52000","1192100","23.35","23.35","22.85","22.95","0.0000","42"
"2013","中鋼構","98000","5616500","57.40","58.00","56.90","57.10","-0.3000","86"
"2014","中鴻","9976000","240136200","24.25","24.40","23.75","23.85","-0.3000","3904"
"2015","豐興","230000","15467600","67.80","68.20","66.50","67.30","-0.6000","144"
"2017","官田鋼","313000","4163400","13.35","13.50","13.15","13.25","-0.1000","171"
"2020","美亞","106000","2432950","23.05","23.15","22.80","22.85","-0.2000","77"
"2022","聚亨","891000","7270160","8.21","8.29","8.05","8.13","-0.1600","435"
"2023","燁輝","2360000","35715650","15.10","15.30","15.00","15.05","0.0500","924"
"2024","志聯","20000","358700","17.90","18.00","17.85","17.85","-0.2500","14"
"2025","千興","112000","537420","4.78","4.86","4.76","4.80","0.0000","37"
"2027","大成鋼","18212000","785300950","43.15","43.55","42.60","43.10","0.3000","9555"
"2028","威致","461000","11658450","25.25","25.80","25.00","25.20","-0.0500","241"
"2029","盛餘","354000","8381850","23.80","24.00","23.50","23.70","-0.1000","206"
"2030","彰源","3119000","71653050","22.95","23.40","22.50","22.60","0.0000","1278"
"2031","新光鋼","2746000","106726750","39.05","39.90","37.85","37.85","-0.9000","1512"
"2032","新鋼","401000","7477400","18.45","19.00","18.35","18.45","-0.1500","208"
"2033","佳大","87000","1181150","13.70","13.85","13.50","13.50","-0.2000","55"
"2034","允強","1168000","33018950","28.35","28.70","27.95","27.95","-0.1500","567"
"2038","海光","883000","17857200","20.20","20.60","19.90","19.90","-0.3000","419"
"2049","上銀","1716000","316691000","187.00","187.00","182.50","184.00","-5.0000","1296"
"2059","川湖","630000","251886000","407.00","407.00","395.00","398.50","-8.5000","568"
"2062","橋椿","374000","8286750","22.35","22.35","21.95","22.15","-0.1500","230"
"2069","運錩","315000","6254350","19.80","20.15","19.70","19.70","-0.2000","173"
"2101","南港","535000","18553500","35.00","35.15","34.50","34.50","-0.4500","261"
"2102","泰豐","465000","9739100","21.00","21.20","20.80","20.95","0.0500","227"
"2103","台橡","1222000","33441950","27.45","27.65","27.15","27.20","-0.2500","465"
"2104","國際中橡","2988000","61594100","20.65","20.80","20.45","20.55","-0.1500","665"
"2105","正新","2309000","79878700","34.60","34.85","34.50","34.50","-0.2500","1138"
"2106","建大","603000","18645450","31.20","31.25","30.70","30.75","-0.3500","391"
"2107","厚生","122000","2675750","21.90","22.05","21.80","21.90","0.0500","70"
"2108","南帝","1193000","44022150","37.50","37.50","36.55","36.95","-0.6000","658"
"2109","華豐","37000","546300","14.80","14.80","14.75","14.75","0.0000","20"
"2114","鑫永銓","16000","1590200","97.70","99.90","97.70","99.80","0.1000","16"
"2115","六暉-KY","49000","1441300","29.90","29.90","29.30","29.55","-0.6000","28"
"2201","裕隆","34900000","2236564700","64.80","65.80","63.00","63.40","-1.5000","13357"
"2204","中華","3079000","167920200","54.70","55.40","53.70","55.00","-0.1000","1298"
"2206","三陽工業","3221000","119873700","36.80","37.70","36.70","37.15","0.3500","1842"
"2207","和泰車","250000","157366000","626.00","636.00","623.00","634.00","0.0000","200"
"2208","台船","3733000","73487250","19.65","19.95","19.30","19.65","0.1000","1615"
"2211","長榮鋼","202000","10476600","52.00","52.20","51.60","51.60","-0.6000","146"
"2227","裕日車","36000","7220000","206.00","206.00","199.50","200.50","-5.5000","33"
"2228","劍麟","202000","16373200","81.50","82.60","80.00","80.90","-0.7000","170"
"2231","為升","1819000","267167000","152.00","152.00","143.50","143.50","-9.0000","1352"
"2233","宇隆","128000","12611400","98.50","99.10","98.10","99.10","0.6000","97"
"2236","百達-KY","280000","6216000","22.20","22.20","22.20","22.20","2.0000","102"
"2239","英利-KY","66000","4209500","64.30","64.60","63.20","63.60","0.0000","64"
"2241","艾姆勒","45000","1452400","32.50","32.50","32.10","32.25","-0.2500","33"
"2243","宏旭-KY","25000","318650","12.70","12.85","12.60","12.80","0.1000","20"
"2247","汎德永業","36000","7705000","216.50","216.50","212.00","214.00","-2.0000","33"
"2250","IKKA-KY","71000","5178700","73.40","73.50","71.70","73.50","0.4000","65"
"2301","光寶科","17344000","1099064000","65.20","65.30","62.60","62.60","-3.2000","9325"
"2302","麗正","875000","15696650","18.30","18.40","17.60","17.65","-0.6500","436"
"2303","聯電","74749000","3289150050","44.00","44.75","43.65","43.65","-0.8500","25436"
"2305","全友","1737000","47961900","28.05","28.25","27.00","27.35","-0.7500","934"
"2308","台達電","6702000","1975928500","299.00","299.00","291.50","294.50","-6.5000","4310"
"2312","金寶","8927000","127649500","14.25","14.50","14.10","14.25","-0.1500","2350"
"2313","華通","24840000","1244335500","51.00","51.70","49.10","49.10","-2.0000","11162"
"2314","台揚","1549000","64066950","41.80","42.55","40.50","41.00","-1.3000","1052"
"2316","楠梓電","213000","5660850","26.60","27.00","26.40","26.50","-0.2500","106"
"2317","鴻海","44478000","4568684500","102.50","104.00","102.00","102.00","-1.0000","18481"
"2321","東訊","190000","1231310","6.50","6.53","6.38","6.50","0.5000","71"
"2323","中環","8916000","70542300","7.92","8.07","7.81","7.83","-0.0500","2071"
"2324","仁寶","12764000","275203750","21.45","21.75","21.35","21.65","-0.0500","5166"
"2327","國巨","3605000","1744590500","491.00","492.50","477.00","484.50","-6.5000","2846"
"2328","廣宇","21734000","863548550","41.15","41.30","38.50","38.50","-2.2500","10224"
"2329","華泰","2451000","45266650","18.70","18.85","18.25","18.30","-0.4000","1120"
"2330","台積電","36310000","17377777000","477.00","485.50","475.00","475.00","-3.0000","18361"
"2331","精英","1317000","28396750","21.70","21.90","21.35","21.55","-0.1500","600"
"2332","友訊","796000","11731150","14.80","15.00","14.60","14.65","-0.1500","354"
"2337","旺宏","12093000","411942150","34.15","34.40","33.80","33.80","-0.7000","6336"
"2338","光罩","14110000","1328903500","96.00","96.30","92.40","92.60","-3.2000","8126"
"2340","台亞","3217000","119682250","37.75","38.00","36.85","36.85","-1.0000","1812"
"2342","茂矽","1130000","46209050","41.35","41.70","40.15","40.50","-0.8500","716"
"2344","華邦電","18337000","387791250","21.15","21.40","21.00","21.10","-0.1000","4912"
"2345","智邦","3763000","947612000","259.00","259.00","248.00","248.50","-11.5000","2647"
"2347","聯強","4488000","267749000","59.50","60.00","59.10","59.50","-0.5000","2395"
"2348","海悅","97000","6318200","64.60","65.80","64.50","64.70","-0.9000","81"
"2348A","海悅甲特","2000","71250","35.65","35.65","35.60","35.60","0.1000","2"
"2349","錸德","4342000","35629470","8.05","8.38","8.05","8.13","0.1700","1420"
"2351","順德","1432000","150885000","105.50","107.50","103.50","105.00","-1.0000","941"
"2352","佳世達","6632000","182468550","27.40","27.90","27.30","27.35","-0.0500","2663"
"2353","宏碁","8983000","210534050","23.40","23.65","23.25","23.35","-0.1000","3215"
"2354","鴻準","3819000","201114600","53.00","53.20","52.10","52.80","-0.4000","2206"
"2355","敬鵬","1264000","39227400","31.40","31.75","30.70","30.90","-0.7000","578"
"2356","英業達","7283000","176308300","24.15","24.35","24.00","24.25","-0.1000","2507"
"2357","華碩","2836000","775179500","275.00","275.50","271.50","272.00","-5.5000","2191"
"2358","廷鑫","3996000","60400450","15.75","15.75","14.70","14.80","-0.7500","1881"
"2359","所羅門","15177000","415008900","27.75","27.75","26.80","27.30","0.6000","7501"
"2360","致茂","766000","144397000","190.00","192.50","185.00","189.00","0.5000","666"
"2362","藍天","161000","5050000","31.55","31.65","31.25","31.30","-0.2000","106"
"2363","矽統","2156000","36154150","16.85","17.05","16.55","16.70","-0.2500","910"
"2364","倫飛","1615000","188574500","120.50","120.50","114.00","115.50","-5.5000","1262"
"2365","昆盈","207000","2077050","10.05","10.15","10.00","10.00","-0.0500","89"
"2367","燿華","18267000","356015250","20.05","20.05","18.95","19.35","-0.4000","6321"
"2368","金像電","7207000","688835200","97.10","97.60","94.00","95.50","-2.4000","4724"
"2369","菱生","733000","10390350","14.30","14.50","13.95","14.05","-0.3000","344"
"2371","大同","31105000","1047443600","32.85","34.00","32.80","34.00","1.2000","10688"
"2373","震旦行","42000","3281800","78.20","78.30","78.00","78.10","-0.1000","41"
"2374","佳能","562000","12317500","21.95","22.30","21.65","21.70","-0.3000","327"
"2375","凱美","730000","44109800","61.40","61.90","59.40","59.40","-1.9000","487"
"2376","技嘉","9907000","997360700","102.50","102.50","99.40","101.00","-2.5000","5855"
"2377","微星","5362000","636246500","121.00","121.00","116.50","119.00","-2.5000","3360"
"2379","瑞昱","4826000","1454575500","305.50","307.50","297.00","297.50","-8.0000","3643"
"2380","虹光","1327000","17578750","13.05","13.80","13.00","13.15","0.2000","524"
"2382","廣達","6632000","475034500","71.90","72.10","71.30","71.50","-1.0000","3811"
"2383","台光電","3765000","695457000","188.00","189.00","181.00","186.50","-3.0000","3143"
"2385","群光","2024000","169696200","83.50","84.50","82.90","84.10","0.5000","1448"
"2387","精元","1191000","47596250","40.80","40.80","39.45","39.45","-1.5500","522"
"2388","威盛","11343000","804917500","71.80","72.30","69.70","70.20","-1.5000","6910"
"2390","云辰","1744000","24137050","14.25","14.25","13.55","13.65","-0.6000","899"
"2392","正崴","2393000","93072500","39.40","39.60","38.45","38.85","-0.5500","1334"
"2393","億光","442000","16598550","37.00","38.15","37.00","37.70","0.0000","299"
"2395","研華","694000","229324500","326.50","332.50","324.50","331.50","4.5000","577"
"2397","友通","36000","2115400","58.90","59.10","58.30","58.30","-0.6000","26"
"2399","映泰","1096000","14963250","14.00","14.05","13.45","13.55","-0.3500","594"
"2401","凌陽","1910000","46779100","24.60","24.80","24.20","24.20","-0.4000","1101"
"2402","毅嘉","6025000","115337300","19.25","19.60","18.70","19.10","0.0500","2597"
"2404","漢唐","1650000","311983500","188.00","192.00","186.00","187.00","0.5000","1258"
"2405","輔信","2132000","26954650","12.75","12.80","12.50","12.60","-0.1500","788"
"2406","國碩","2618000","51283450","19.90","20.10","19.20","19.60","-0.4000","1244"
"2408","南亞科","8617000","463879300","54.20","54.50","53.50","53.50","-0.8000","4207"
"2409","友達","48781000","772280950","15.90","16.05","15.65","15.65","-0.3500","12060"
"2412","中華電","9557000","1074482500","112.00","113.00","111.50","112.50","0.5000","3342"
"2413","環科","3590000","102086850","28.40","29.10","27.80","28.25","-0.1500","1803"
"2414","精技","89000","2726800","30.80","30.80","30.50","30.55","-0.3500","71"
"2415","錩新","162000","3726550","23.65","23.65","22.70","23.00","-0.5000","87"
"2417","圓剛","546000","12373600","22.90","23.00","22.40","22.55","-0.3500","262"
"2419","仲琦","3230000","85876000","27.10","27.30","26.15","26.25","-0.8500","1720"
"2420","新巨","144000","5675900","39.20","39.65","39.20","39.30","-0.2000","76"
"2421","建準","9029000","405365900","47.20","47.20","43.80","43.85","-4.3000","5114"
"2423","固緯","206000","5464100","26.55","26.70","26.20","26.55","-0.1500","135"
"2424","隴華","3000","59600","19.90","19.90","19.80","19.90","-0.5000","3"
"2425","承啟","781000","21556150","27.55","27.95","27.25","27.25","-0.4500","316"
"2426","鼎元","438000","7797000","18.10","18.10","17.60","17.65","-0.2500","215"
"2427","三商電","373000","4369800","11.85","11.95","11.60","11.80","-0.1000","149"
"2428","興勤","212000","25312000","121.00","121.50","118.00","118.00","-3.0000","185"
"2429","銘旺科","7000","72450","10.30","10.50","10.30","10.45","-0.3000","5"
"2430","燦坤","30000","1272800","42.40","42.80","42.30","42.30","-0.3500","24"
"2431","聯昌","124000","1262850","10.25","10.30","10.10","10.15","-0.1000","70"
"2433","互盛電","13000","628050","48.60","48.60","48.20","48.20","-0.4000","11"
"2434","統懋","6000","173400","29.90","29.90","28.60","28.60","-0.4000","6"
"2436","偉詮電","1673000","77258500","46.80","47.25","45.60","45.60","-1.5000","1180"
"2438","翔耀","15000","198150","13.20","13.30","13.20","13.30","0.1000","13"
"2439","美律","1438000","116754100","81.70","81.90","80.70","81.00","-0.4000","1027"
"2440","太空梭","107000","1343450","12.70","12.80","12.40","12.45","-0.2000","77"
"2441","超豐","2123000","103800850","49.70","49.70","48.40","48.55","-1.3000","1479"
"2442","新美齊","1046000","14071100","13.60","13.75","13.25","13.55","-0.1500","444"
"2443","昶虹","48000","135020","2.81","2.88","2.81","2.88","0.0700","13"
"2444","兆勁","950000","13048850","14.00","14.10","13.20","13.65","-0.5000","391"
"2449","京元電子","5503000","194321450","35.75","35.75","34.90","35.10","-0.6500","3131"
"2450","神腦","66000","2048500","31.10","31.15","30.90","30.95","-0.1500","34"
"2451","創見","283000","18809700","66.50","66.80","66.20","66.80","-0.4000","209"
"2453","凌群","98000","2446400","25.00","25.15","24.80","24.90","-0.3500","74"
"2454","聯發科","5227000","3759515000","717.00","728.00","713.00","716.00","-9.0000","3732"
"2455","全新","2616000","191428200","74.50","75.00","72.00","72.20","-2.8000","1831"
"2457","飛宏","9230000","371861000","41.30","41.30","39.50","39.75","-1.9000","4905"
"2458","義隆","1736000","152575000","89.10","89.30","87.10","87.60","-1.5000","1196"
"2459","敦吉","48000","2513300","52.50","52.60","52.00","52.60","-0.1000","45"
"2460","建通","353000","6117450","17.55","17.85","17.05","17.25","-0.4500","203"
"2461","光群雷","428000","8114650","19.00","19.20","18.70","18.75","-0.2000","218"
"2462","良得電","186000","5160500","27.75","28.00","27.60","27.60","-0.3500","114"
"2464","盟立","113000","4258000","37.80","38.00","37.55","37.65","-0.0500","92"
"2465","麗臺","1381000","51258800","38.00","38.00","36.40","36.85","-0.8000","921"
"2466","冠西電","60000","2101900","35.35","35.40","34.35","34.40","0.0000","42"
"2467","志聖","60000","2712350","45.40","45.40","45.05","45.40","-0.1000","57"
"2468","華經","3377000","101333850","30.35","31.00","29.35","29.50","-0.8500","1971"
"2471","資通","101000","2790000","27.55","27.80","27.45","27.60","0.0500","79"
"2472","立隆電","255000","14329100","56.70","57.20","55.60","55.80","-0.8000","200"
"2474","可成","5338000","941589500","176.50","178.00","174.00","176.50","1.5000","2885"
"2476","鉅祥","1419000","67919150","48.40","48.65","47.40","47.90","-0.5000","798"
"2477","美隆電","115000","2374150","20.75","20.80","20.55","20.80","-0.1500","92"
"2478","大毅","183000","8284650","45.65","46.00","44.80","45.10","-0.5500","142"
"2480","敦陽科","124000","10082000","82.00","82.00","81.00","81.10","-0.5000","102"
"2481","強茂","3391000","212597400","62.70","64.20","61.80","62.10","-1.4000","2251"
"2482","連宇","3180000","83268400","26.70","26.70","25.50","26.35","-0.2000","1283"
"2483","百容","646000","16371500","25.90","25.90","25.00","25.10","-0.8500","399"
"2484","希華","1668000","60663000","36.70","37.10","35.90","35.90","-0.8000","1029"
"2485","兆赫","713000","12765850","18.15","18.30","17.70","17.70","-0.4500","351"
"2486","一詮","13801000","334820500","25.20","25.65","23.35","23.45","-2.1000","5477"
"2488","漢平","117000","3394100","29.15","29.15","28.90","29.00","-0.1500","93"
"2489","瑞軒","2073000","20790990","10.10","10.15","9.97","10.00","-0.1500","741"
"2491","吉祥全","46000","576450","12.50","12.55","12.50","12.50","-0.2000","32"
"2492","華新科","2161000","181402000","85.20","85.80","82.90","83.40","-2.4000","1327"
"2493","揚博","139000","5967450","42.80","43.20","42.70","42.90","0.0000","87"
"2495","普安","4397000","88928250","20.45","20.75","19.65","20.15","-0.2500","1806"
"2496","卓越","14000","659050","47.10","47.15","47.00","47.05","-0.1000","10"
"2497","怡利電","15606000","1319110000","88.00","88.00","81.80","82.00","-3.4000","9309"
"2498","宏達電","38561000","2281512800","60.80","60.90","57.70","58.00","-1.9000","18713"
"2501","國建","328000","5028200","15.30","15.40","15.30","15.30","0.0000","167"
"2504","國產","917000","22851850","25.00","25.15","24.75","25.00","0.0500","410"
"2505","國揚","132000","2498650","19.20","19.20","18.85","19.05","-0.1500","82"
"2506","太設","163000","1536580","9.45","9.47","9.41","9.41","-0.0400","70"
"2509","全坤建","42000","615900","14.90","14.90","14.55","14.55","-0.3500","24"
"2511","太子","300000","3188150","10.60","10.70","10.60","10.70","0.1000","153"
"2514","龍邦","343000","6129200","18.15","18.15","17.65","17.65","-0.4000","213"
"2515","中工","2240000","18369310","8.25","8.29","8.15","8.17","-0.0500","708"
"2516","新建","111000","554550","5.06","5.06","4.98","4.98","-0.0800","43"
"2520","冠德","1035000","28410650","27.75","27.80","27.20","27.50","-0.2500","587"
"2524","京城","22000","749850","34.15","34.15","34.00","34.00","-0.4500","20"
"2527","宏璟","60000","1287200","21.55","21.60","21.35","21.35","-0.2000","42"
"2528","皇普","154000","2480450","16.50","16.50","15.85","16.10","-0.3000","82"
"2530","華建","1251000","22449700","18.15","18.30","17.80","18.05","-0.0500","472"
"2534","宏盛","774000","19623350","25.35","25.55","25.15","25.55","0.4000","516"
